Text,Sentiment
"Kiến thức căn bản về vai trò của Khoa học máy tính trong công nghệ thông tin",42
"kiến thức về kiến trúc máy tính, hệ điều hành và mạng máy tính",42
"Kiến thức căn bản về cơ sở dữ liệu, hệ quản trị cơ sở dữ liệu, hệ thống thông tin",42
"kiến thức về phân tích thiết kế và xây dựng một hệ thống thông tin cho tổ chức và doanh nghiệp",42
"Kiến thức cơ bản về Công nghệ phần mềm",42
"Kiến thức chuyên sâu về cấu trúc dữ liệu, giải thuật và các kỹ thuật lập trình bao gồm: cấu trúc, hướng đối tượng và logic",42
"Khối kiến thức chuyên ngành",43
"Có kiến thức vững vàng một trong các hướng chuyên ngành",43
"Các hệ thống thông minh (trí tuệ nhân tạo (artificial intelligence), khai phá dữ liệu (data mining), máy học (machine learning))",43
"Khai thác dữ liệu đa phương tiện (đồ hoạ – xử lý ảnh – thị giác máy tính (computer graphics – image processing –computer vision))",43
"An toàn bảo mật thông tin và Mô phỏng – đánh giá hệ thống",43
"Tư duy lập trình, quy trình phát triển phần mềm",43
"Kỹ năng cứng",44
"Vận dụng kiến thức về toán và khoa học cơ bản được sử dụng trong lĩnh vực khoa học máy tính",44
"Sử dụng được các phần mềm đồ hoạ, xử lý ảnh từ đơn giản đến phức tạp",44
"Tư duy lập trình, khả năng phát triển từ lý thuyết đến việc xây dựng các hệ thống thông minh, khả năng ứng dụng các kết quả nghiên cứu vào thực tiễn",44
"Đọc, viết, thuyết trình và bảo vệ ý tưởng; kỹ năng tham khảo tài liệu chuyên môn và giao tiếp bằng ngoại ngữ",44
"Tư duy sáng tạo, tư duy phản biện",44
"Kỹ năng mềm",44
"Làm việc theo nhóm: hình thành nhóm làm việc hiệu quả; vận hành nhóm; phát triển nhóm; lãnh đạo nhóm, có khả năng làm việc hợp tác",44
"Có thái độ tích cực trong công việc, có đạo đức và trách nhiệm nghề nghiệp",44
"Phong cách làm việc chuyên nghiệp",44
"thời gian đào tạo là khoảng 4,5 năm",45
"một năm bao gồm 3 học kỳ, 2 học kỳ chính và 1 học kỳ hè (không bắt buộc học)",46
"mức học phí bậc đại học là 280 nghìn đồng đến 332 nghìn đồng trên 1 tín chỉ",47
"khoảng 15 triệu cho một năm học",47
"học kỳ hè kéo dài ba tháng và không bắt buộc học, nếu học thì đăng ký tối đa là tám tín chỉ",48
"sau khi tốt nghiệp trường sẽ giới thiệu một số công ty để bạn nộp đơn xin việc",5
"hoặc bạn cũng có thể đăng ký học lên trình độ cao hơn nếu có nguyện vọng",5
"vị trí việc làm",51
"Chuyên viên phân tích dữ liệu",51
"Chuyên viên đồ hoạ và thị giác máy tính",51
"Lập trình viên, quản lý dự án",51
"Chuyên viên thiết kế, phát triển phần mềm",51
"Chuyên viên nghiên cứu và phát triển các công nghệ tri thức (sản phẩm mang tính thông minh), xử lý hình ảnh, thị giác máy tính, thực tế ảo, lập trình trò chơi",51
"Giảng viên, nghiên cứu viên",51
"Nơi làm việc",52
"Công ty sản xuất, gia công, bảo trì phần mềm",52
"Công ty tư vấn - thiết kế các giải pháp công nghệ thông tin",52
"Cơ quan Nhà nước có liên quan đến lĩnh vực công nghệ thông tin",52
"Trường đại học, cao đẳng, trung cấp, … đào tạo về công nghệ thông tin",52
"Ký túc xá trường đại học cần thơ với sức chứa hơn 10000 sinh viên, hiện nay gồm có 3 khu",6
"Khu KTX-A: Vị trí nằm trong khuôn viên khu II, Trường ĐHCT, có khả năng bố trí 4.000 sinh viên",6
"gồm các dãy nhà ở: 2 dãy nhà 5 tầng, sức chứa mỗi dãy khoảng 500 sinh viên; 12 dãy 2 tầng, sức chứa mỗi dãy khoảng 180 sinh viên; 15 dãy nhà 1 tầng",6
"Khu KTX-B : Gồm 08 dãy nhà 5 tầng (với tổng diện tích xây dựng 6.000 mét vuông (tổng diện tích sàn 35.000 mét vuông)",6
"mỗi dãy có 78 phòng; mỗi phòng bố trí 08 sinh viên (lắp đặt 04 giường tầng). Tổng sức chứa KTX-B gần 5.000 sinh viên",6
"để biết thêm thông tin chi tiết, mời bạn vào website: https://tuyensinh.ctu.edu.vn/ts-dai-hoc-chinh-quy/897-ky-tuc-xa.html",6
"không có con số thống kê cụ thể cho tỷ lệ việc làm sau khi ra trường",7
"việc làm được đúng ngành hay trái ngành là tùy thuộc vào bản thân bạn",7
"tùy vào khả năng và trình độ, mức lương sau khi ra trường có thể lên đến 30 triệu",7
"học bổng dành cho tân sinh viên",8
"700 suất học bổng (3.000.000đ/suất) cho tân sinh viên có điểm trúng tuyển cao (ưu tiên cho các ngành học tại Khu Hòa An)",8
"100 suất học bổng học tập ngắn hạn ở nước ngoài (30 suất cho các ngành chương trình tiên tiến và chương trình chất lượng cao)",8
"Nhiều học bổng tài trợ từ cơ quan, doanh nghiệp cho tân sinh viên có hoàn cảnh khó khăn và điểm trúng tuyển cao",8
"và các suất học bổng sau mỗi học kỳ dành cho sinh viên có thành tích tốt",8
