Text,Sentiment
"Nếu học đại học thì khoảng mấy năm",45
"một năm có bao nhiêu học kỳ",46
"Học bao nhiêu học kỳ",46
"học phí",47
"chi phí học là bao nhiêu",47
"Tiền học",47
"Học phí của ngành là bao nhiêu",47
"Học phí ra sao",47
"chương trình đào tạo bao nhiêu năm",47
"Chi phí đào tạo như thế nào",47
"có được nghỉ hè không",48
"hè có được nghỉ không",48
"nghỉ hè được bao lâu",48
"học suốt luôn hay có được nghỉ không",48
"sau khi tốt nghiệp có giữ lại trường làm việc không",5
"Nếu em học xong thời gian học thì em có được học lên nữa hông",5
"ngành này có đào tạo thạc sĩ không",5
"học xong đại học rồi có được học tiếp không",5
"cơ hội việc làm",5
"ra trường rồi có được hỗ trợ việc làm không",5
"trường có giới thiệu việc làm không",5
"sau khi kết thúc khóa học cơ hội việc làm có dễ không",5
"học ngành IT dễ xin việc làm không",5
"Ra trường có dễ xin việc làm không",5
"Khi học xong có dễ xin việc không",5
"Sau khi hoàn thành việc học thì cơ hội tìm được việc làm có cao không",5
"Cơ hội nghề nghiệp của sinh viên học ngành này sau khi ra trường là bao nhiêu",5
"cơ hội tìm việc làm",5
"trường có ký túc xá không",6
"trường có hỗ trợ chỗ ở không",6
"ký túc xá trường như thế nào",6
"ký túc xá trường ra sao",6
"ký túc xá giá cả ra sao",6
"trường có hỗ trợ ký túc xá không",6
"ký túc xá của trường có lớn không",6
"học xong trường có giới thiệu việc làm không",5
"ra trường làm việc lương bao nhiêu",7
"Mức lương ra trường sao với các ngành khác",7
"tiền lương ngành này có ok không",7
"mức thu nhập bao nhiêu",7
"tỷ lệ thấp nghiệp của ngành có cao hay không",7
"tỷ lệ việc làm có cao không",7
"Mức lương cơ bản khi ra trường",7
"Vừa ra trường thì lương cơ bản là bao nhiêu",7
"Mức lương trung bình có thể nhận được khi làm ngành này là bao nhiêu",7
"Lương trung bình của sinh viên sau khi ra trường",7
"lương khỏi điểm đa số của ngành khi học xong",7
"tỉ lệ có việc làm đúng ngành nghề sau khi ra trường là bao nhiêu",7
"nếu học xong muốn xin học bổng làm như thế nào",8
"nếu học xong muốn xin học bổng du học làm như thế nào",8
"có được nhận học bổng không",8
"làm cách nào để được nhận học bổng",8
"trường có phát học bổng không",8
"học giỏi có được học bổng không",8
"điều kiện nào để được nhận học bổng",8
"nhà em nghèo quá có được nhận học bổng không",8
"em muốn nhận học bổng thì cần điều kiện gì",8
"em học giỏi và muốn được nhận học bổng thì phải làm sao",8
"phương thức một là gì",11
"phương thức 1 là gì",11
"làm sao để được ưu tiên tuyển thẳng",11
"ưu tiên xét tuyển là sao",11
"ưu tiên xét tuyển cần điều kiện gì",11
"những đối tượng được ưu tiên xét tuyển",11
"những người nào được ưu tiên xét tuyển",11
"những ai được ưu tiên xét tuyển",11
"đối tượng nào được ưu tiên xét tuyển",11
"phải làm gì mới được ưu tiên xét tuyển",11
"điều kiện để được ưu tiên xét tuyển",11
"phương thức hai là gì",12
"phương thức 2 là gì",12
"xét điểm kỳ thi tốt nghiệp như thế nào",12
"xét điểm thi tốt nghiệp rồi có cần thi đại học nữa không",12
"xét điểm thi tốt nghiệp là sao",12
"xét điểm thi tốt nghiệp trung học phổ thông là sao",12
"điều kiện để xét điểm tốt nghiệp",12
"điều kiện để được xét điểm tốt nghiệp",12
"Mình xét điểm 12 được không",12
"Nếu năm nay xét học bạ có thể là bao nhiêu điểm",13
"có xét tuyển học bạ không",13
"nếu mà xét học bạ thì cần bao nhiêu điểm",13
"xét học bạ cần điều kiện gì",13
"điều kiện học bạ như thế nào thì trúng tuyển",13
"phương thức ba là gì",13
"phương thức 3 là gì",13
"xét điểm học bạ trung học phổ thông là sao",13
"xét điểm học bạ là như thế nào",13
"xét điểm học bạ là xét mấy năm",13
"điều kiện để được xét học bạ",13
"có xét học bạ không",13
"phương thức sáu cần điều kiện gì",16
"phương thức 6 cần điều kiện gì",16
"xét thẳng mà bồi dưỡng kiến thức là sao",16
"bồi dưỡng kiến thức là gì",16
"xét thẳng và học bồi dưỡng kiến thức cần điều kiện gì",16
"đối tượng nào mới được xét tuyển theo phương thức sáu",16
"những ai được xét tuyển thẳng và học bồi dưỡng",16
"học bồi dưỡng kiến thức là học cái gì",16
"học bồi dưỡng kiến thức là học như thế nào",16
"học bồi dưỡng kiến thức là học ra sao",16
"ai mới được xét tuyển thẳng",17
"xét tuyển thẳng cần điều kiện gì",17
"làm sao để được xét tuyển thẳng",17
"tuyển thẳng là sao",17
"làm sao để được tuyển thẳng",17
"làm thế nào để được tuyển thẳng",17
"làm sao để được tuyển thẳng",17
"làm gì để không phải thi mà được tuyển thẳng",17
"tuyển thẳng bằng cách nào",17
"tuyển thẳng như thế nào",17
"bằng cách nào để được tuyển thẳng",17
"nếu không thi có được tuyển thẳng không",17
"ngành ra trường làm việc gì",51
"ra trường có thể làm gì",51
"ngành đó sau này ra trường làm gì",51
"ngành này cơ hội việc làm sau khi ra trường ổn không ạ",51
"sau khi ra trường có thể làm những việc gì ạ",51
"những vị trí việc làm khi ra trường",51
"chuẩn đầu ra có được đảm bảo không",51
"ra trường sẽ làm những gì",51
"công việc thế nào",51
"ra trường làm ở đâu",51
"ra trường làm được nghề gì",51
"Khi ra trường sẽ làm nghề gì",51
"Sau này ra trường làm nghề gì",51
"xin việc làm được vào những nơi nào",52
"Làm ở đâu",52
"Những khu vực nào",52
"những nơi nào có nhu cầu cao về nhân lực đối với ngành này",52
"ra trường làm ở chỗ nào",52
"có thể làm việc ở đâu",52
"làm chỗ nào",52
"làm văn phòng hay ngoài công trường",52
"nơi làm việc",52
"nơi làm việc là ở đâu",52
"dừng lại",90
"stop",90
"kết thúc",90
"ngưng",90
"ngừng",90
"dừng",90
"ngắt",90
"đóng",90
